,Title_of_Movie,Release_Year,Runtime_(min),IMDB_Rating,Metascore,Votes,Box_Office_(Million $)
4169,The Rookie,2002,127,6.9,72        ,35181,75.60
4170,Vanilla Sky,2001,136,6.9,45        ,267997,100.61
4171,Seom,2000,90,6.9,61        ,14062,0.02
4172,Hearts in Atlantis,2001,101,6.9,55        ,39256,24.19
4173,Bully,2001,108,6.9,45        ,38688,1.54
4174,The Dangerous Lives of Altar Boys,2002,104,6.9,69        ,13797,1.78
4175,Kaho Naa... Pyaar Hai,2000,172,6.9,Not Metascore available,15492,0.36
4176,Atlantis: The Lost Empire,2001,95,6.9,52        ,120738,84.05
4177,The Crimson Rivers,2000,106,6.9,49        ,62316,0.63
4178,The Contender,2000,126,6.9,59        ,24297,17.87
4179,Saving Grace,2000,93,6.9,62        ,18625,12.12
4180,Shadow of the Vampire,2000,92,6.9,71        ,42311,8.29
4181,A Knight's Tale,2001,132,6.9,56        ,187947,56.57
4182,Bicentennial Man,1999,132,6.9,42        ,118128,58.22
4183,East Is East,1999,96,6.9,74        ,19361,4.17
4184,The Limey,1999,89,6.9,73        ,32926,3.19
4185,Stir of Echoes,1999,99,6.9,67        ,82334,21.13
4186,Any Given Sunday,1999,162,6.9,52        ,120484,75.53
4187,The Road to El Dorado,2000,89,6.9,51        ,97202,50.86
4188,Ravenous,1999,101,6.9,46        ,40293,2.06
4189,He Got Game,1998,136,6.9,64        ,48532,21.55
4190,Return to Paradise,1998,111,6.9,54        ,14808,8.29
4191,Return to Me,2000,115,6.9,54        ,21459,32.66
4192,Zero Effect,1998,116,6.9,Not Metascore available,14610,2.09
4193,What Dreams May Come,1998,113,6.9,44        ,109383,55.49
4194,The Wedding Singer,1998,97,6.9,59        ,151416,80.25
4195,Velvet Goldmine,1998,118,6.9,65        ,36048,1.05
4196,Tea with Mussolini,1999,117,6.9,53        ,13537,14.35
4197,One True Thing,1998,127,6.9,63        ,12215,23.25
4198,Wilde,1997,118,6.9,70        ,17310,2.16
4199,Suicide Kings,1997,106,6.9,43        ,27905,1.69
4200,Private Parts,1997,109,6.9,67        ,37638,41.20
4201,Pardes,1997,191,6.9,Not Metascore available,14961,Not Box Office available
4202,Liar Liar,1997,86,6.9,70        ,309645,181.41
4203,Gridlock'd,1997,91,6.9,Not Metascore available,15814,5.48
4204,The Edge,1997,117,6.9,Not Metascore available,74346,27.78
4205,Con Air,1997,115,6.9,52        ,300258,101.12
4206,Affliction,1997,114,6.9,79        ,17523,6.30
4207,That Thing You Do!,1996,108,6.9,71        ,69515,25.81
4208,Muppet Treasure Island,1996,99,6.9,64        ,24546,33.61
4209,Matilda,1996,98,6.9,72        ,152660,33.08
4210,Kingpin,1996,114,6.9,43        ,85119,24.94
4211,Jude,1996,123,6.9,68        ,10691,0.41
4212,Fly Away Home,1996,107,6.9,77        ,25837,24.51
4213,Bottle Rocket,1996,91,6.9,66        ,77598,0.56
4214,Basquiat,1996,107,6.9,65        ,20947,2.96
4215,Rob Roy,1995,139,6.9,55        ,43338,31.60
4216,A Goofy Movie,1995,78,6.9,53        ,55348,35.35
4217,Get Shorty,1995,105,6.9,82        ,84404,72.08
4218,Dead Presidents,1995,119,6.9,Not Metascore available,22662,24.20
4219,Clueless,1995,97,6.9,68        ,218724,56.63
4220,Clockers,1995,128,6.9,71        ,22474,13.04
4221,Babe,1995,91,6.9,83        ,126240,66.60
4222,The Ref,1994,97,6.9,Not Metascore available,25003,11.44
4223,The Mask,1994,101,6.9,56        ,386047,119.94
4224,Clear and Present Danger,1994,141,6.9,74        ,100489,122.19
4225,Ace Ventura: Pet Detective,1994,86,6.9,37        ,302401,72.22
4226,Matinee,1993,99,6.9,Not Metascore available,11229,9.53
4227,The House of the Spirits,1993,145,6.9,Not Metascore available,23196,6.27
4228,Homeward Bound: The Incredible Journey,1993,84,6.9,Not Metascore available,47215,41.83
4229,Hocus Pocus,1993,96,6.9,43        ,141426,39.51
4230,Dave,1993,110,6.9,76        ,54076,63.27
4231,School Ties,1992,106,6.9,65        ,24854,14.72
4232,Radio Flyer,1992,114,6.9,Not Metascore available,13610,4.65
4233,Newsies,1992,121,6.9,46        ,21126,2.82
4234,Ging chaat goo si III: Chiu kup ging chaat,1992,96,6.9,Not Metascore available,21935,16.27
4235,Deep Cover,1992,107,6.9,67        ,11956,16.64
4236,The Cutting Edge,1992,101,6.9,53        ,20787,25.11
4237,Robin Hood: Prince of Thieves,1991,143,6.9,51        ,194572,165.50
4238,Quigley Down Under,1990,119,6.9,51        ,22580,21.41
4239,Naked Lunch,1991,115,6.9,67        ,52284,2.54
4240,The Naked Gun 2½: The Smell of Fear,1991,85,6.9,65        ,114276,86.93
4241,My Girl,1991,102,6.9,56        ,81866,59.85
4242,Grand Canyon,1991,134,6.9,64        ,15981,33.24
4243,The Addams Family,1991,99,6.9,57        ,157243,113.50
4244,Presumed Innocent,1990,127,6.9,72        ,42646,86.30
4245,Memphis Belle,1990,107,6.9,59        ,28821,27.44
4246,King of New York,1990,103,6.9,66        ,37796,2.55
4247,The Grifters,1990,110,6.9,86        ,28403,13.45
4248,UHF,1989,97,6.9,32        ,29001,6.16
4249,The Fabulous Baker Boys,1989,114,6.9,85        ,24240,18.10
4250,Koneko monogatari,1986,90,6.9,72        ,12107,13.25
4251,Bill & Ted's Excellent Adventure,1989,90,6.9,50        ,131957,40.49
4252,Without a Clue,1988,107,6.9,Not Metascore available,10497,8.54
4253,Tucker: The Man and His Dream,1988,110,6.9,74        ,20018,19.65
4254,Tetsuo,1989,67,6.9,Not Metascore available,23216,Not Box Office available
4255,Scrooged,1988,101,6.9,38        ,100500,60.33
4256,Frantic,1988,120,6.9,66        ,54168,17.64
4257,A Cry in the Dark,1988,120,6.9,Not Metascore available,10571,6.91
4258,Beaches,1988,123,6.9,46        ,26980,57.04
4259,Overboard,1987,112,6.9,53        ,60895,26.71
4260,Opera,1987,107,6.9,68        ,17606,Not Box Office available
4261,Near Dark,1987,94,6.9,76        ,40489,3.37
4262,The Monster Squad,1987,79,6.9,61        ,33004,3.77
4263,La Bamba,1987,108,6.9,65        ,34053,54.22
4264,Hellraiser,1987,94,6.9,56        ,127830,14.56
4265,Fatal Attraction,1987,119,6.9,67        ,87442,156.65
4266,A Night on the Town,1987,102,6.9,45        ,44930,34.37
4267,Top Gun,1986,110,6.9,50        ,434157,179.80
4268,Something Wild,1986,114,6.9,73        ,18958,8.36
4269,Ruthless People,1986,93,6.9,78        ,28897,71.62
4270,River's Edge,1986,99,6.9,73        ,18582,4.60
4271,Lucas,1986,100,6.9,75        ,16388,8.20
4272,Armour of God,1986,88,6.9,Not Metascore available,20172,Not Box Office available
4273,Flight of the Navigator,1986,90,6.9,64        ,48751,18.56
4274,At Close Range,1986,111,6.9,67        ,16220,2.35
4275,An American Tail,1986,80,6.9,38        ,54099,47.48
4276,Real Genius,1985,108,6.9,71        ,34936,13.00
4277,Ladyhawke,1985,121,6.9,64        ,47843,18.43
4278,Fletch,1985,98,6.9,68        ,52978,50.61
4279,The Emerald Forest,1985,114,6.9,Not Metascore available,10328,24.47
4280,Jacht op smaragd,1984,106,6.9,63        ,94957,76.57
4281,Repo Man,1984,92,6.9,82        ,37987,3.57
4282,48 Hrs.,1982,96,6.9,71        ,78732,78.87
4283,The French Lieutenant's Woman,1981,124,6.9,64        ,13857,22.60
4284,Conan the Barbarian,1982,129,6.9,43        ,150516,39.57
4285,Clash of the Titans,1981,118,6.9,59        ,44867,41.09
4286,Arthur,1981,97,6.9,69        ,29099,95.46
4287,Absence of Malice,1981,116,6.9,64        ,13656,40.72
4288,Time Bandits,1981,116,6.9,79        ,64189,42.37
4289,The Long Riders,1980,100,6.9,64        ,11668,23.00
4290,Altered States,1980,102,6.9,58        ,35861,19.85
4291,Nine to Five,1980,109,6.9,58        ,34356,103.29
4292,The First Great Train Robbery,1978,110,6.9,68        ,18181,13.03
4293,Up in Smoke,1978,86,6.9,57        ,38842,44.36
4294,Heaven Can Wait,1978,101,6.9,72        ,21619,81.64
4295,Coma,1978,113,6.9,60        ,19549,Not Box Office available
4296,Smokey and the Bandit,1977,96,6.9,50        ,51246,126.74
4297,The Rescuers,1977,78,6.9,74        ,64706,71.22
4298,Silver Streak,1976,114,6.9,41        ,20417,Not Box Office available
4299,The Eagle Has Landed,1976,135,6.9,61        ,22228,Not Box Office available
4300,The Stepford Wives,1975,115,6.9,54        ,18087,8.72
4301,The Four Musketeers,1974,108,6.9,Not Metascore available,10810,19.10
4302,Death Wish,1974,93,6.9,51        ,39769,22.00
4303,Westworld,1973,88,6.9,77        ,59047,16.06
4304,Last Tango in Paris,1972,129,6.9,77        ,54413,36.14
4305,Sisters,1972,93,6.9,70        ,18329,0.35
4306,De avonturen van hammetje,1973,94,6.9,73        ,21117,5.23
4307,Tales from the Crypt,1972,92,6.9,Not Metascore available,11698,1.70
4308,The big boss,1971,100,6.9,Not Metascore available,27386,0.04
4309,Geen genade voor Rivalen,1971,102,6.9,78        ,28772,11.80
4310,Carnal Knowledge,1971,98,6.9,77        ,13181,28.62
4311,Bananas,1971,82,6.9,67        ,36009,11.80
4312,Zabriskie Point,1970,113,6.9,Not Metascore available,16118,1.05
4313,Love Story,1970,100,6.9,84        ,34689,106.40
4314,Battle of Britain,1969,132,6.9,Not Metascore available,22815,4.36
4315,The Thomas Crown Affair,1968,102,6.9,66        ,25542,Not Box Office available
4316,Chitty Chitty Bang Bang,1968,144,6.9,64        ,46609,7.50
4317,Thunderball,1965,130,6.9,64        ,119313,63.60
4318,The Masque of the Red Death,1964,89,6.9,77        ,14603,Not Box Office available
4319,Fantomas,1964,104,6.9,Not Metascore available,10770,Not Box Office available
4320,Lord of the Flies,1963,92,6.9,67        ,19277,Not Box Office available
4321,House of Usher,1960,79,6.9,75        ,13704,3.16
4322,The Hound of the Baskervilles,1959,87,6.9,Not Metascore available,11327,Not Box Office available
4323,High Society,1956,111,6.9,65        ,16120,13.00
4324,Creature from the Black Lagoon,1954,79,6.9,68        ,31032,1.30
4325,The Barefoot Contessa,1954,128,6.9,70        ,11473,Not Box Office available
4326,De knuppel in het apenhok,1952,97,6.9,Not Metascore available,14473,Not Box Office available
4327,The Adventures of Ichabod and Mr. Toad,1949,68,6.9,74        ,16113,Not Box Office available
4328,The Black Cat,1934,65,6.9,Not Metascore available,11638,0.51
4329,Blackmail,1929,85,6.9,Not Metascore available,10885,Not Box Office available
4330,Good Newwz,2019,134,6.8,Not Metascore available,20552,Not Box Office available
4331,The Bad Guys,2022,100,6.8,64        ,36048,Not Box Office available
4332,Yesterday,III 2019,116,6.8,55        ,152914,73.29
4333,What Is Life Worth,2020,118,6.8,67        ,14781,Not Box Office available
4334,Torbaaz,2020,133,6.8,Not Metascore available,17933,Not Box Office available
4335,Ready or Not,I 2019,95,6.8,64        ,151035,28.71
4336,Brittany Runs a Marathon,2019,104,6.8,72        ,20387,0.22
4337,Boss Level,2020,100,6.8,56        ,67344,Not Box Office available
4338,Judy,II 2019,118,6.8,66        ,50935,Not Box Office available
4339,Attack,2022,121,6.8,Not Metascore available,15436,Not Box Office available
4340,Le jeu,2018,90,6.8,Not Metascore available,15529,Not Box Office available
4341,München - Im Angesicht des Krieges,2021,130,6.8,53        ,30549,Not Box Office available
4342,Always Be My Maybe,2019,101,6.8,64        ,56831,Not Box Office available
4343,22 July,2018,143,6.8,69        ,34334,Not Box Office available
4344,A Simple Favor,2018,117,6.8,67        ,149868,53.55
4345,La ragazza nella nebbia,2017,128,6.8,Not Metascore available,11400,Not Box Office available
4346,News of the World,2020,118,6.8,73        ,86997,Not Box Office available
4347,Us,II 2019,116,6.8,81        ,296846,175.08
4348,Benedetta,2021,131,6.8,73        ,19188,Not Box Office available
4349,Arctic,2018,98,6.8,71        ,52590,2.41
4350,Bombshell,I 2019,109,6.8,64        ,115224,Not Box Office available
4351,Meari to majo no hana,2017,103,6.8,74        ,14547,2.42
4352,Penguin Bloom,2020,95,6.8,54        ,10611,Not Box Office available
4353,Patti Cake$,2017,109,6.8,67        ,10273,0.80
4354,"Don't Worry, He Won't Get Far on Foot",2018,114,6.8,67        ,27397,1.44
4355,A Ghost Story,2017,92,6.8,84        ,72834,1.60
4356,Calibre,2018,101,6.8,76        ,29746,Not Box Office available
4357,Shaun het Schaap de film: Het Ruimteschaap,2019,86,6.8,79        ,13902,Not Box Office available
4358,The Lion King,2019,118,6.8,55        ,244771,543.64
4359,I See You,II 2019,98,6.8,65        ,50023,Not Box Office available
4360,Toc Toc,2017,90,6.8,Not Metascore available,19442,Not Box Office available
4361,Life Itself,2018,117,6.8,21        ,22180,4.10
4362,The Mustang,2019,96,6.8,77        ,12816,5.04
4363,Wildlife,2018,105,6.8,80        ,29260,1.03
4364,Victoria & Abdul,2017,111,6.8,58        ,36079,22.25
4365,Spies in Disguise,2019,102,6.8,54        ,49538,66.76
4366,Escape from Pretoria,2020,106,6.8,56        ,37578,Not Box Office available
4367,You Were Never Really Here,2017,89,6.8,84        ,119780,2.52
4368,Le sens de la fête,I 2017,117,6.8,Not Metascore available,10905,Not Box Office available
4369,Beast,III 2017,107,6.8,74        ,13930,0.80
4370,To the Bone,I 2017,107,6.8,64        ,49990,Not Box Office available
4371,All the Money in the World,2017,132,6.8,72        ,85662,25.11
4372,The Dry,2020,117,6.8,69        ,26854,Not Box Office available
4373,The Exception,2016,107,6.8,60        ,13913,0.61
4374,Neruda,2016,107,6.8,82        ,10499,0.94
4375,Juste la fin du monde,2016,97,6.8,48        ,23708,Not Box Office available
4376,Storks,2016,87,6.8,56        ,62745,72.68
4377,Frozen II,2019,103,6.8,64        ,171950,477.37
4378,Lady Macbeth,2016,89,6.8,76        ,23963,1.13
4379,Under the Shadow,2016,84,6.8,83        ,27977,0.03
4380,Shin Gojira,2016,120,6.8,67        ,28306,1.92
4381,Widows,2018,129,6.8,84        ,98128,42.40
4382,Indignation,2016,110,6.8,78        ,12222,3.40
4383,Other People,I 2016,97,6.8,67        ,11626,0.09
4384,Captain Marvel,2019,123,6.8,64        ,556520,426.83
4385,Florence Foster Jenkins,2016,111,6.8,71        ,56517,27.37
4386,People Places Things,2015,85,6.8,68        ,10685,Not Box Office available
4387,A Prayer Before Dawn,2017,116,6.8,76        ,23819,Not Box Office available
4388,The House That Jack Built,2018,152,6.8,42        ,77117,0.09
4389,Truth,I 2015,125,6.8,66        ,20305,2.54
4390,The Outpost,2019,123,6.8,71        ,34885,Not Box Office available
4391,A Perfect Day,I 2015,106,6.8,60        ,22452,Not Box Office available
4392,Tolkien,2019,112,6.8,48        ,41333,4.54
4393,The Autopsy of Jane Doe,2016,86,6.8,65        ,119111,0.01
4394,It Follows,2014,100,6.8,83        ,242771,14.67
4395,Black '47,2018,100,6.8,65        ,12158,0.05
4396,Hasee Toh Phasee,2014,141,6.8,Not Metascore available,15387,0.34
4397,The Diary of a Teenage Girl,2015,102,6.8,87        ,32137,1.48
4398,Mr. Holmes,2015,104,6.8,67        ,65015,17.74
4399,Beyond the Lights,2014,116,6.8,73        ,16626,14.62
4400,Pimp,2018,86,6.8,44        ,10763,Not Box Office available
4401,Man Up,I 2015,88,6.8,69        ,53587,Not Box Office available
4402,Mary Kom,2014,122,6.8,Not Metascore available,10905,0.59
4403,L'inconnu du lac,2013,100,6.8,82        ,14841,0.32
4404,Død snø 2,2014,100,6.8,59        ,25094,Not Box Office available
4405,Annihilation,I 2018,115,6.8,79        ,325726,32.73
4406,Mr. Turner,2014,150,6.8,94        ,26002,3.96
4407,Troop Zero,2019,94,6.8,58        ,11041,Not Box Office available
4408,The Magnificent Seven,2016,132,6.8,54        ,212529,93.43
4409,Joe,I 2013,117,6.8,74        ,48932,0.37
4410,Spectre,I 2015,148,6.8,60        ,440256,200.07
4411,Dodookdeul,2012,135,6.8,75        ,10621,0.69
4412,The Babadook,2014,94,6.8,86        ,225225,0.92
4413,Big Bad Wolves,2013,110,6.8,64        ,16699,0.03
4414,Miss You Already,2015,112,6.8,59        ,18993,1.16
4415,Draft Day,I 2014,110,6.8,54        ,60989,28.83
4416,Long Shot,2019,125,6.8,67        ,111676,30.32
4417,Trouble with the Curve,2012,111,6.8,58        ,64755,35.76
4418,Populaire,2012,111,6.8,58        ,12316,0.18
4419,The Reluctant Fundamentalist,2012,130,6.8,54        ,14236,0.52
4420,The 33,2015,127,6.8,55        ,38323,12.19
4421,Thor: The Dark World,2013,112,6.8,54        ,681016,206.36
4422,A Most Wanted Man,2014,122,6.8,73        ,76844,17.24
4423,Singham,2011,143,6.8,Not Metascore available,17253,0.35
4424,Sinister,I 2012,110,6.8,53        ,253892,48.09
4425,Kodachrome,2017,105,6.8,57        ,17335,Not Box Office available
4426,The East,2013,116,6.8,68        ,50799,2.27
4427,Kyss mig,2011,105,6.8,Not Metascore available,11104,Not Box Office available
4428,Chappie,2015,120,6.8,41        ,252380,31.57
4429,Tengo ganas de ti,2012,120,6.8,Not Metascore available,15546,Not Box Office available
4430,The Maze Runner,2014,113,6.8,57        ,466355,102.43
4431,Stonehearst Asylum,2014,112,6.8,52        ,57161,Not Box Office available
4432,Odd Thomas,2013,100,6.8,45        ,53917,Not Box Office available
4433,The First Time,I 2012,95,6.8,55        ,71310,0.02
4434,Jersey Boys,2014,134,6.8,54        ,35119,47.03
4435,Bernie,2011,99,6.8,75        ,60802,9.20
4436,Tanu Weds Manu,2011,113,6.8,Not Metascore available,15877,Not Box Office available
4437,Stoker,2013,99,6.8,58        ,109660,1.70
4438,Night Train to Lisbon,2013,111,6.8,30        ,19691,Not Box Office available
4439,Tres metros sobre el cielo,2010,118,6.8,Not Metascore available,26597,Not Box Office available
4440,Courageous,I 2011,130,6.8,42        ,20790,34.52
4441,Bleed for This,2016,117,6.8,62        ,27788,4.85
4442,The Vow,2012,104,6.8,43        ,195111,125.01
4443,The Grey,2011,117,6.8,64        ,253444,51.58
4444,Contagion,2011,106,6.8,70        ,304092,75.66
4445,Insidious,I 2010,103,6.8,52        ,309578,54.01
4446,Warm Bodies,2013,98,6.8,60        ,232333,66.38
4447,Puncture,2011,100,6.8,54        ,24235,0.07
4448,The Skeleton Twins,2014,93,6.8,74        ,42740,5.28
4449,Les émotifs anonymes,2010,80,6.8,69        ,11505,Not Box Office available
4450,Dolphin Tale,2011,113,6.8,64        ,24533,72.29
4451,Smile,V 2022,115,6.8,68        ,37260,Not Box Office available
4452,À bout portant,2010,84,6.8,75        ,14148,0.71
4453,Athena,2022,99,6.8,72        ,11323,Not Box Office available
4454,What Happened to Monday,2017,123,6.8,47        ,123574,Not Box Office available
4455,Xin shao lin si,2011,131,6.8,53        ,19583,0.06
4456,Anonymous,I 2011,130,6.8,50        ,41121,4.46
4457,The Iceman,2012,106,6.8,60        ,75566,1.94
4458,What If,I 2013,98,6.8,59        ,78226,3.45
4459,Bridesmaids,I 2011,125,6.8,75        ,292757,169.11
4460,Aquaman,2018,143,6.8,55        ,471098,335.06
4461,Autoreiji,2010,109,6.8,67        ,13776,Not Box Office available
4462,Goon,2011,92,6.8,64        ,87520,4.17
4463,Salmon Fishing in the Yemen,2011,107,6.8,58        ,65198,9.03
4464,Quartet,2012,98,6.8,64        ,20457,18.39
4465,Martha Marcy May Marlene,2011,102,6.8,75        ,53590,2.98
4466,Men in Black 3,2012,106,6.8,58        ,363659,179.02
4467,Unknown,I 2011,113,6.8,56        ,262237,63.69
4468,New York,2009,153,6.8,35        ,11606,0.98
4469,Issiz Adam,2008,113,6.8,Not Metascore available,20907,Not Box Office available
4470,Swan Song,I 2021,112,6.8,66        ,14168,Not Box Office available
4471,Defendor,2009,101,6.8,57        ,36927,0.04
4472,Sidney Hall,2017,119,6.8,18        ,11006,Not Box Office available
4473,Chandigarh Kare Aashiqui,2021,117,6.8,Not Metascore available,13915,Not Box Office available
4474,Madagascar 3: Europe's Most Wanted,2012,95,6.8,60        ,182225,216.39
4475,Love Aaj Kal,2009,128,6.8,Not Metascore available,16273,2.43
4476,Exam,2009,101,6.8,Not Metascore available,116424,Not Box Office available
4477,Middle Men,2009,105,6.8,60        ,37796,0.72
4478,Ondine,2009,111,6.8,65        ,21571,0.55
4479,The Debt,I 2010,113,6.8,65        ,69926,31.18
4480,Vengeance,II 2022,107,6.8,65        ,14048,Not Box Office available
4481,One Chance,2013,103,6.8,52        ,12598,0.09
4482,Cemetery Junction,2010,95,6.8,Not Metascore available,23625,Not Box Office available
4483,Akhanda,2021,167,6.8,Not Metascore available,13261,Not Box Office available
4484,The House,III 2022,97,6.8,Not Metascore available,16177,Not Box Office available
4485,OSS 117: Rio ne répond plus,2009,101,6.8,58        ,15202,0.09
4486,The Map of Tiny Perfect Things,2021,98,6.8,61        ,23043,Not Box Office available
4487,TRON: Legacy,2010,125,6.8,49        ,337732,172.06
4488,Fifty Dead Men Walking,2008,117,6.8,57        ,11340,Not Box Office available
4489,Adventureland,2009,107,6.8,76        ,161644,16.03
4490,Sherni,2021,131,6.8,Not Metascore available,11208,Not Box Office available
4491,Ink,I 2009,107,6.8,Not Metascore available,21797,Not Box Office available
4492,The Electrical Life of Louis Wain,2021,111,6.8,63        ,14499,Not Box Office available
4493,Yes Man,2008,104,6.8,46        ,362817,97.69
4494,The Burning Plain,2008,107,6.8,45        ,20364,0.20
4495,A Christmas Carol,2009,96,6.8,55        ,115768,137.86
4496,La vita davanti a sé,2020,94,6.8,66        ,14387,Not Box Office available
4497,Mank,2020,131,6.8,79        ,75417,Not Box Office available
4498,The Imaginarium of Doctor Parnassus,2009,123,6.8,65        ,150008,7.69
4499,Mammoth,2009,125,6.8,51        ,10146,0.01
4500,The Book of Eli,2010,118,6.8,53        ,318948,94.84
4501,Flashbacks of a Fool,2008,109,6.8,Not Metascore available,12584,0.00
4502,The Power of the Dog,2021,126,6.8,89        ,172426,Not Box Office available
4503,The Greatest Beer Run Ever,2022,126,6.8,39        ,13431,Not Box Office available
4504,The Boys in the Band,2020,121,6.8,70        ,15902,Not Box Office available
4505,Hanna,2011,111,6.8,65        ,199728,40.26
4506,Fair Game,I 2010,108,6.8,69        ,49424,9.53
4507,Hitchcock,2012,98,6.8,55        ,76429,6.01
4508,Tetro,2009,127,6.8,65        ,13224,0.52
4509,Green Zone,2010,115,6.8,63        ,137918,35.05
4510,Freaky Deaky,2012,90,6.8,Not Metascore available,23350,Not Box Office available
4511,The Boys Are Back,2009,104,6.8,57        ,10291,0.81
4512,Bottle Shock,2008,110,6.8,56        ,16823,4.04
4513,Rise of the Footsoldier,2007,119,6.8,Not Metascore available,20898,Not Box Office available
4514,Paris,I 2008,130,6.8,68        ,12507,1.01
4515,Mr. Peabody & Sherman,2014,92,6.8,59        ,71067,111.51
4516,Sunshine Cleaning,2008,91,6.8,61        ,72185,12.06
4517,Walk Hard: The Dewey Cox Story,2007,96,6.8,63        ,73797,18.32
4518,Rendition,2007,122,6.8,55        ,56223,9.74
4519,The Boxtrolls,2014,96,6.8,61        ,58275,50.84
4520,The Last Full Measure,2019,116,6.8,51        ,11995,Not Box Office available
4521,The Nativity Story,2005,101,6.8,52        ,11692,37.63
4522,We Own the Night,2007,117,6.8,59        ,89546,28.56
4523,Disturbia,2007,105,6.8,62        ,236412,80.21
4524,Interview,I 2007,84,6.8,64        ,13701,0.42
4525,Dan in Real Life,I 2007,98,6.8,65        ,103507,47.64
4526,The Tree of Life,2011,139,6.8,85        ,177658,13.30
4527,21,2008,123,6.8,48        ,252548,81.16
4528,Unstoppable,2010,98,6.8,69        ,198227,81.56
4529,Shinobi,2005,107,6.8,Not Metascore available,12652,Not Box Office available
4530,Red Road,2006,113,6.8,73        ,13150,0.15
4531,The History Boys,2006,109,6.8,74        ,21025,2.71
4532,Inland Empire,2006,180,6.8,73        ,58067,0.75
4533,The Hunting Party,2007,101,6.8,54        ,25519,0.97
4534,Snow Angels,I 2007,107,6.8,67        ,12837,0.40
4535,Horton,2008,86,6.8,71        ,141359,154.53
4536,1408,2007,104,6.8,64        ,275146,71.99
4537,Keeping Mum,2005,99,6.8,53        ,34977,1.62
4538,Before We Go,I 2014,95,6.8,31        ,58790,0.04
4539,Danger Close: The Battle of Long Tan,2019,118,6.8,Not Metascore available,13323,Not Box Office available
4540,Ice Age: The Meltdown,2006,91,6.8,59        ,278893,195.33
4541,Harsh Times,2005,116,6.8,56        ,66208,3.34
4542,Role Models,2008,99,6.8,61        ,232319,67.29
4543,Four Brothers,2005,109,6.8,49        ,147673,74.49
4544,Street Kings,2008,109,6.8,55        ,114602,26.42
4545,The Stanford Prison Experiment,2015,122,6.8,67        ,43135,0.64
4546,Dreamer: Inspired by a True Story,2005,106,6.8,59        ,13384,32.70
4547,Elizabeth: The Golden Age,2007,114,6.8,45        ,71940,16.29
4548,Taxidermia,2006,91,6.8,83        ,17776,0.01
4549,The Lake House,2006,99,6.8,52        ,150507,52.33
4550,The Island,2005,136,6.8,50        ,316907,35.82
4551,Bolt,2008,96,6.8,67        ,211689,114.05
4552,Meet the Robinsons,2007,95,6.8,61        ,101045,97.82
4553,Primer,2004,77,6.8,68        ,107277,0.42
4554,Motherless Brooklyn,2019,144,6.8,60        ,57731,Not Box Office available
4555,The Football Factory,2004,91,6.8,Not Metascore available,30971,Not Box Office available
4556,Azumi,2003,128,6.8,49        ,14809,Not Box Office available
4557,Oliver Twist,2005,130,6.8,65        ,33050,1.99
4558,Tristan + Isolde,2006,125,6.8,49        ,52847,14.73
4559,Che: Part Two,2008,135,6.8,64        ,33935,Not Box Office available
4560,Mou gaan dou III: Jung gik mou gaan,2003,118,6.8,Not Metascore available,13665,Not Box Office available
4561,I'm Not There,2007,135,6.8,73        ,59178,4.02
4562,Millions,2004,98,6.8,74        ,25650,6.58
4563,The Upside of Anger,2005,118,6.8,63        ,22226,18.76
4564,Tenacious D in The Pick of Destiny,2006,94,6.8,55        ,109820,8.32
4565,Lymelife,2008,95,6.8,64        ,14326,0.43
4566,Suchîmubôi,2004,126,6.8,66        ,17844,0.41
4567,50 First Dates,2004,99,6.8,48        ,355931,120.91
4568,A Series of Unfortunate Events,2004,108,6.8,62        ,210017,118.63
4569,Intermission,2003,105,6.8,64        ,15950,0.90
4570,Brother Bear,2003,85,6.8,48        ,111642,85.34
4571,Thirteen,2003,100,6.8,70        ,89004,4.60
4572,Peter Pan,2003,113,6.8,64        ,73680,48.46
4573,Bruce Almighty,2003,101,6.8,46        ,403936,242.83
4574,Veronica Guerin,2003,98,6.8,55        ,20669,1.57
4575,Rent,2005,135,6.8,53        ,53703,29.08
4576,The Transporter,2002,92,6.8,51        ,304445,25.30
4577,Signs,2002,106,6.8,59        ,363910,227.97
4578,Dog Soldiers,2002,105,6.8,Not Metascore available,61198,Not Box Office available
4579,Spider,2002,98,6.8,83        ,39191,1.64
4580,The Importance of Being Earnest,2002,97,6.8,60        ,23709,8.38
4581,Poolhall Junkies,2002,99,6.8,36        ,10211,0.56
4582,Jalla! Jalla!,2000,88,6.8,Not Metascore available,13865,Not Box Office available
4583,One Hour Photo,2002,96,6.8,64        ,124328,31.60
4584,Jay and Silent Bob Strike Back,2001,104,6.8,51        ,155746,30.09
4585,Panic Room,2002,112,6.8,65        ,280585,96.40
4586,Storytelling,2001,87,6.8,50        ,17817,0.91
4587,Lost and Delirious,2001,103,6.8,53        ,21330,0.30
4588,Bridget Jones's Diary,2001,97,6.8,66        ,244837,71.54
4589,Serendipity,2001,90,6.8,52        ,113906,50.29
4590,The Pledge,I 2001,124,6.8,71        ,59274,19.72
4591,The Fast and the Furious,2001,106,6.8,58        ,385566,144.53
4592,The Score,2001,124,6.8,71        ,128655,71.07
4593,Intacto,2001,108,6.8,59        ,13274,0.30
4594,Family Man,2000,125,6.8,42        ,111048,75.79
4595,Hannibal,2001,131,6.8,57        ,275791,165.09
4596,Baadshah,1999,175,6.8,Not Metascore available,18612,Not Box Office available
